id,text,author,tags_str,word_count,scraped_at,page_number
1,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world",21,2025-08-18 17:53:21,1
2,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices",16,2025-08-18 17:53:21,1
3,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles",26,2025-08-18 17:53:21,1
4,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor",19,2025-08-18 17:53:21,1
5,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational",16,2025-08-18 17:53:21,1
6,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value",14,2025-08-18 17:53:21,1
7,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love",19,2025-08-18 17:53:21,1
8,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased",12,2025-08-18 17:53:21,1
9,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,19,2025-08-18 17:53:21,1
10,"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",9,2025-08-18 17:53:21,1
11,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world",21,2025-08-18 17:53:22,2
12,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices",16,2025-08-18 17:53:22,2
13,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles",26,2025-08-18 17:53:22,2
14,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor",19,2025-08-18 17:53:22,2
15,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational",16,2025-08-18 17:53:22,2
16,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value",14,2025-08-18 17:53:22,2
17,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love",19,2025-08-18 17:53:22,2
18,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased",12,2025-08-18 17:53:22,2
19,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,19,2025-08-18 17:53:22,2
20,"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",9,2025-08-18 17:53:22,2
21,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world",21,2025-08-18 17:53:23,3
22,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices",16,2025-08-18 17:53:23,3
23,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles",26,2025-08-18 17:53:23,3
24,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor",19,2025-08-18 17:53:23,3
25,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational",16,2025-08-18 17:53:23,3
26,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value",14,2025-08-18 17:53:23,3
27,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love",19,2025-08-18 17:53:23,3
28,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased",12,2025-08-18 17:53:23,3
29,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,19,2025-08-18 17:53:23,3
30,"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",9,2025-08-18 17:53:23,3
