id,text,author,tags,tags_str,word_count,scraped_at,page_number,char_count,author_normalized
1,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"['change', 'deep-thoughts', 'thinking', 'world']","change, deep-thoughts, thinking, world",21,2025-08-18 17:53:21,1,115,Albert Einstein
2,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"['abilities', 'choices']","abilities, choices",16,2025-08-18 17:53:21,1,85,J.K. Rowling
3,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"['inspirational', 'life', 'live', 'miracle', 'miracles']","inspirational, life, live, miracle, miracles",26,2025-08-18 17:53:21,1,131,Albert Einstein
4,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"['aliteracy', 'books', 'classic', 'humor']","aliteracy, books, classic, humor",19,2025-08-18 17:53:21,1,104,Jane Austen
5,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"['be-yourself', 'inspirational']","be-yourself, inspirational",16,2025-08-18 17:53:21,1,111,Marilyn Monroe
6,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"['adulthood', 'success', 'value']","adulthood, success, value",14,2025-08-18 17:53:21,1,67,Albert Einstein
7,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"['life', 'love']","life, love",19,2025-08-18 17:53:21,1,82,André Gide
8,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"['edison', 'failure', 'inspirational', 'paraphrased']","edison, failure, inspirational, paraphrased",12,2025-08-18 17:53:21,1,65,Thomas A. Edison
9,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,['misattributed-eleanor-roosevelt'],misattributed-eleanor-roosevelt,19,2025-08-18 17:53:21,1,85,Eleanor Roosevelt
10,"“A day without sunshine is like, you know, night.”",Steve Martin,"['humor', 'obvious', 'simile']","humor, obvious, simile",9,2025-08-18 17:53:21,1,50,Steve Martin
